ID,Feature,BulbPercent,Length,Width,Thickness,Weight,Ratio,NumLeaves,MedianDate,DateRange,Group
139.1.1.9,1.1,90%,17.96,9.75,10.19,0.46,0.555122494,4.5,1766,d.1500-1999,selective_harvesting
139.1.1.11,1.1,90%,10.03,6.53,7.09,0.156,0.678963111,3,1766,d.1500-1999,selective_harvesting
139.1.1.12,1.1,85%,13.35,5.69,6.31,0.123,0.449438202,3,1766,d.1500-1999,selective_harvesting
139.1.1.14,1.1,95%,10.58,5.8,6.09,0.116,0.561909263,3,1766,d.1500-1999,selective_harvesting
139.1.1.19,1.1,90%,11.81,8.66,1.05,0.514,0.411092295,4.5,1766,d.1500-1999,selective_harvesting
139.1.1.23,1.1,85%,19.43,7.2,6.16,0.278,0.34379825,3,1766,d.1500-1999,selective_harvesting
140.o15.1.8,O-15.1,90%,15.53,13.36,9.63,0.516,0.740180296,3,2098,e.2000-2499,stripping
140.o15.1.9,O-15.1,95%,12.96,11.7,7.29,0.389,0.732638889,3,2098,e.2000-2499,stripping
140.o15.1.11,O-15.1,95%,11.13,8.6,6.99,0.231,0.700359389,2,2098,e.2000-2499,stripping
140.o15.1.17,O-15.1,80%,16.56,8.8,5.4,0.158,0.428743961,2,2098,e.2000-2499,stripping
140.o15.1.19,O-15.1,85%,13.27,8.37,6.2,0.137,0.548982668,2,2098,e.2000-2499,stripping
139.p4.1.26,P-4.1,70%,19.1,14.03,13.08,0.631,0.709685864,4,2134,e.2000-2499,stripping
140.o7.40,O-7,50%,11.18,8.08,,0.133,0.361359571,3,2475,e.2000-2499,stripping
141.o16.14,O-16,80%,13.98,11.01,7.02,0.34,0.644849785,4,2756,e.2000-2499,stripping
141.o3.83,O-3,85%,15.33,11.86,11.01,0.611,0.745923027,4,2847,f.2500-2999,selective_harvesting
141.o17.17,O-17,85%,11.7,8.83,7.34,0.166,0.691025641,3,3010,g.3000-3499,selective_harvesting
141.o17.18,O-17,85%,14.04,7.72,7.09,0.159,0.527421652,3,3010,g.3000-3499,selective_harvesting
141.o17.20,O-17,80%,16.9,14.35,13.61,0.811,0.827218935,4,3010,g.3000-3499,selective_harvesting
141.o17.23,O-17,85%,16.76,9.33,7.35,0.301,0.497613365,3,3010,g.3000-3499,selective_harvesting
144.o14.21,O-14,80%,13.63,13.43,5.03,0.35,0.677182685,3,3224,g.3000-3499,selective_harvesting
144.o14.22,O-14,,,,,0.363,,3,3224,g.3000-3499,selective_harvesting
144.o14.24,O-14,90%,11.62,11.21,7.91,0.343,0.822719449,4,3224,g.3000-3499,selective_harvesting
144.o14.25,O-14,95%,12.31,7.78,10.15,0.443,0.728269699,4,3224,g.3000-3499,selective_harvesting
144.o14.26,O-14,75%,12.92,8.46,,0.128,,3,3224,g.3000-3499,selective_harvesting
144.o14.28,O-14,95%,13.45,11.03,10.51,0.252,0.800743494,4,3224,g.3000-3499,selective_harvesting
144.o14.31,O-14,95%,8.85,6.5,5.73,0.07,0.690960452,2,3224,g.3000-3499,selective_harvesting
144.o14.32,O-14,80%,15.22,6.75,7.51,0.182,0.468462549,2,3224,g.3000-3499,selective_harvesting
144.o14.33,O-14,50%,9.14,9.85,,0.118,,3,3224,g.3000-3499,selective_harvesting
139.o5.41.63,O-5.41,95%,11.58,5.89,8.61,0.257,0.626079447,4.5,3244,g.3000-3499,selective_harvesting
139.o5.41.66,O-5.41,85%,13.31,14.26,11.96,0.481,0.984973704,5,3244,g.3000-3499,selective_harvesting
139.o5.41.67,O-5.41,80%,11.64,7.95,7.29,0.137,0.654639175,4,3244,g.3000-3499,selective_harvesting
139.p7.9.195,P-7.9,90%,11.88,10.44,8.94,0.262,0.815656566,3,3612,h.3500-3999,stripping
139.p7.9.196,P-7.9,95%,15.6,7.82,7.99,0.183,0.506730769,2,3612,h.3500-3999,stripping
139.p7.9.197,P-7.9,95%,15.03,7.98,10.73,0.294,0.622421823,4,3612,h.3500-3999,stripping
139.p7.9.198,P-7.9,95%,10.58,8.25,6.15,0.129,0.680529301,3,3612,h.3500-3999,stripping
139.p7.9.199,P-7.9,95%,12.11,7.38,7.73,0.15,0.623864575,3.5,3612,h.3500-3999,stripping
139.p7.9.200,P-7.9,85%,13.27,7.43,7.37,0.148,0.557648832,3,3612,h.3500-3999,stripping
139.p7.9.202,P-7.9,80%,11.33,9.38,7.68,0.188,0.752868491,4,3612,h.3500-3999,stripping
139.p7.9.203,P-7.9,80%,11.94,8.74,7.33,0.133,0.672948074,2,3612,h.3500-3999,stripping
139.p7.9.204,P-7.9,95%,9.08,13.11,12.73,0.603,1.422907489,3,3612,h.3500-3999,stripping
141.o14.3,O-14.1,80%,14.37,8.2,7.08,0.2,0.531663187,4.5,3683,h.3500-3999,stripping
141.o14.4,O-14.1,90%,18.5,9.86,8.73,0.569,0.502432432,5,3683,h.3500-3999,stripping
139.o8.41.226,O-8.41,80%,12.08,8.01,8.32,0.128,0.675910596,2,3723,h.3500-3999,stripping
139.o8.41.229,O-8.41,70%,13.12,13.75,14.94,0.346,1.093368902,3,3723,h.3500-3999,stripping
139.o8.41.230,O-8.41,85%,14.59,10.44,5.69,0.193,0.552775874,2,3723,h.3500-3999,stripping
139.o8.41.231,O-8.41,85%,12.98,10.72,10.57,0.21,0.820107858,3,3723,h.3500-3999,stripping
139.o8.41.233,O-8.41,80%,10.08,6,5.12,0.057,0.551587302,2,3723,h.3500-3999,stripping
139.o8.41.234,O-8.41,80%,13.13,16.02,9.16,0.556,0.95887281,4,3723,h.3500-3999,stripping
139.o8.41.236,O-8.41,90%,12.95,8.01,8.64,0.202,0.642857143,3,3723,h.3500-3999,stripping
139.o8.41.239,O-8.41,90%,10.33,9.07,9.16,0.194,0.882381413,3,3723,h.3500-3999,stripping
139.o8.41.244,O-8.41,95%,13.71,7.36,7.72,0.146,0.54996353,2,3723,h.3500-3999,stripping
,,,,,,,,,,,
,,,,,,,,,,,
