depth_cm,age_calBP,d18OcarbVPDB,d13CcarbVPDB
29.95,279.4,-5.04,4.94
30.1,281.4,-4.76,5.09
30.25,283.5,-5.11,4.88
30.4,285.6,-5.01,5.02
30.55,287.7,-5.23,4.94
30.65,289.1,-5.39,4.57
30.75,290.5,-5.18,4.97
30.9,292.6,-5.14,4.98
31.05,294.7,-5.23,4.69
31.2,296.6,-4.99,4.47
31.35,298.6,-5.12,4.62
31.55,301.2,-4.77,4.58
31.65,302.5,-4.88,4.5
31.75,303.8,-4.73,4.63
31.9,305.7,-4.98,4.59
32.1,308.4,-4.73,4.68
32.25,310.5,-6.74,2.62
32.4,312.6,-4.79,4.64
32.6,315.4,-4.76,4.58
32.85,318.9,-4.62,4.54
32.95,320.3,-5.11,4.54
33.05,321.7,-4.9,4.41
33.2,323.8,-5,4.53
33.35,325.9,-4.99,4.64
33.45,327.3,-4.87,4.78
33.55,328.7,-5.05,4.58
33.85,332.9,-4.88,4.62
34,335,-4.7,4.73
34.15,337,-4.91,4.72
34.25,338.3,-4.89,4.81
34.35,339.6,-5.09,4.65
34.5,341.5,-4.84,4.87
34.65,343.5,-4.94,4.7
34.8,345.4,-0.84,6.33
35,348,-4.67,4.59
35.15,350.1,-4.74,4.72
35.3,352.2,-4.8,4.68
35.55,355.7,-4.87,4.48
35.7,357.8,-4.67,4.62
35.85,359.9,-4.88,4.55
35.95,361.3,-4.95,4.54
36.1,363.3,-4.96,4.62
36.25,365.3,-5.06,4.48
36.35,366.6,-5.09,4.47
36.5,368.5,-2.66,5.73
36.65,370.5,-5.32,4.55
36.8,372.4,-5.31,4.63
37,375,-5.27,4.71
37.2,377.8,-5.3,4.92
37.4,380.6,-5.42,4.71
37.55,382.7,-5.31,4.39
37.65,384.1,-5.36,4.28
37.75,385.5,-5.53,4.29
37.85,386.9,-5.05,4.31
37.95,388.3,-7.2,3.26
38.05,389.7,-5.87,3.71
38.2,391.6,-6.02,3.45
38.4,394.2,-6.14,3.56
38.55,396.2,-5.85,3.73
38.65,397.5,-5.66,4.08
38.75,398.8,-5.19,4.54
38.9,400.7,-5.29,4.55
39.05,402.7,-4.99,4.57
39.15,404.1,-5.06,4.73
39.3,406.2,-5.13,4.7
39.45,408.3,-5.3,4.72
39.6,410.4,-5.23,4.6
39.75,412.5,-5.23,4.79
39.9,414.6,-5.18,4.58
40.1,417.3,-5.39,4.51
40.3,419.9,-5.41,4.92
40.45,421.9,-5.34,4.59
40.55,423.2,-5.55,4.47
40.65,424.5,-5.78,4.36
40.8,426.4,-5.66,4.3
40.95,428.4,-5.91,4.08
41.05,429.7,-5.77,4.07
41.2,431.8,-6.03,4.25
41.35,433.9,-6.01,4.2
41.45,435.3,-5.95,4.08
41.6,437.4,-5.92,3.85
41.8,440.2,-5.84,4.26
41.95,442.3,-6.21,3.6
42.05,443.7,-6.7,2.96
42.2,445.6,-6.31,3.31
42.35,447.6,-6.67,2.89
42.5,449.5,-6.96,2.83
42.65,451.5,-6.8,2.79
42.8,453.4,-7.05,2.61
42.95,455.4,-7.5,2.03
43.1,457.4,-6.83,2.95
43.25,459.5,-6.62,3.06
43.35,460.9,-6.18,3.43
43.5,463,-5.93,3.58
43.65,465.1,-6.11,3.07
44.01,470.2,-5.23,-6.88
44.23,475.5,-5,0.49
44.45,480.8,-4.9,0.18
44.56,483.4,-4.82,-2.24
44.67,486.1,-4.87,-0.13
44.78,488.7,-4.77,2.31
44.89,491.4,-4.71,1.61
44.99,493.8,-4.85,1.41
45.1,496.4,-4.93,1.68
45.21,499,-5.05,-0.74
45.32,501.7,-4.54,4.08
45.43,504.3,-4.92,-0.34
45.54,507,-3.69,2.34
45.65,509.6,-4.66,1.11
45.76,512.2,-7.09,-1.38
45.87,514.9,-4.37,2.44
45.98,517.5,-4.31,-9.42
46.08,519.9,-2.83,3.63
46.19,522.6,-4.63,2.47
46.3,525.2,-3.88,-1.16
46.41,527.8,-4.13,0.22
46.52,530.5,-2.45,2.21
46.63,533.1,-3.78,2.55
46.74,535.8,-4.51,4.06
46.85,538.4,-4.67,-6.21
46.96,541,-2.31,2.5
47.17,546.1,-4.74,3.13
47.28,548.7,-2.29,1.32
47.39,551.4,-3.25,-2.58
47.5,554,-2.82,3.2
47.61,556.6,-4.22,2.37
47.72,559.3,-4.82,3.32
47.83,561.9,-4.97,4.36
47.94,564.6,-3.95,-8.71
48.05,567.2,-5.01,4.15
48.16,569.8,-4.46,1.71
48.26,572.2,-5.1,4.02
48.37,574.9,-5.12,3.97
48.47,577.3,-5.97,2.14
48.57,579.7,-5.18,4.11
48.67,582.1,-5.58,3.47
48.77,584.5,-5.72,2.98
48.87,586.9,-5.31,4.08
48.97,589.3,-5.39,4.07
49.07,591.7,-5.67,2.86
49.17,594.1,-5.37,3.56
49.27,596.5,-5.55,3.56
49.37,598.9,-5.34,4.3
